Country,Year, Yt ,Kt,Lt,,,
France,1990," $1,889,867.13 "," $9,881,229.00 "," 25,871,210.00 ",,,
France,1991," $1,909,676.25 "," $10,141,223.00 "," 25,748,991.00 ",,,
France,1992," $1,940,218.50 "," $10,378,971.00 "," 25,968,918.00 ",,,
France,1993," $1,928,021.00 "," $10,569,411.00 "," 26,135,835.00 ",,,
France,1994," $1,973,490.38 "," $10,762,340.00 "," 26,228,093.00 ",,,
France,1995," $2,015,065.75 "," $10,953,105.00 "," 26,380,077.00 ",,,
France,1996," $2,043,538.63 "," $11,140,189.00 "," 26,684,433.00 ",,,
France,1997," $2,091,281.75 "," $11,323,192.00 "," 26,651,660.00 ",,,
France,1998," $2,166,330.50 "," $11,534,435.00 "," 26,832,480.00 ",,,
France,1999," $2,240,449.00 "," $11,779,616.00 "," 27,142,160.00 ",,,
France,2000," $2,328,356.75 "," $12,052,053.00 "," 27,313,657.00 ",,,
France,2001," $2,374,544.75 "," $12,322,481.00 "," 27,441,602.00 ",,,
France,2002," $2,401,508.50 "," $12,568,634.00 "," 27,809,449.00 ",,,
France,2003," $2,421,277.00 "," $12,813,933.00 "," 28,346,820.00 ",,,
France,2004," $2,489,792.75 "," $13,072,357.00 "," 28,513,168.00 ",,,
France,2005," $2,531,203.75 "," $13,341,555.00 "," 28,829,106.00 ",,,
France,2006," $2,593,201.00 "," $13,627,169.00 "," 29,008,602.00 ",,,
France,2007," $2,656,079.25 "," $13,941,623.00 "," 29,271,805.00 ",,,
France,2008," $2,662,850.75 "," $14,244,773.00 "," 29,464,970.00 ",,,
France,2009," $2,586,338.75 "," $14,461,299.00 "," 29,692,721.00 ",,,
France,2010," $2,636,758.00 "," $14,687,638.00 "," 29,781,056.00 ",,,
France,2011," $2,694,574.25 "," $14,921,119.00 "," 29,816,377.00 ",,,
France,2012," $2,703,011.75 "," $15,147,027.00 "," 30,074,280.00 ",,,
France,2013," $2,718,589.75 "," $15,357,736.00 "," 30,287,405.00 ",,,
France,2014," $2,744,584.50 "," $15,560,292.00 "," 30,194,204.00 ",,,
France,2015," $2,775,129.50 "," $15,760,554.00 "," 30,261,476.00 ",,,
France,2016," $2,805,530.25 "," $15,971,412.00 "," 30,280,138.00 ",,,
France,2017," $2,869,816.50 "," $16,207,717.00 "," 30,347,085.00 ",,,
France,2018," $2,921,268.50 "," $16,456,631.00 "," 30,534,890.00 ",,,
France,2019," $2,965,338.50 "," $16,726,649.00 "," 30,500,444.00 ",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,," $2,655,816,911,866.56 "
,,,,,,," $2,926,802,941,585.85 "
,,,,,,," $2,700,075,882,518.98 "
,,,,,,," $2,646,230,027,988.33 "
,,,,,,," $2,870,408,553,990.27 "
,,,,,,," $2,683,007,095,787.23 "
,,,,,,," $2,816,077,607,875.25 "
,,,,,,," $2,861,236,112,552.41 "
,,,,,,," $2,442,483,452,642.50 "
,,,,,,," $2,470,407,619,777.12 "
,,,,,,," $2,588,868,323,334.71 "
,,,,,,," $2,781,576,320,884.39 "
,,,,,,," $2,722,793,515,171.75 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
